ITM001,Pfizer Inc.,"Dextromethorphan HBr, Guaifenesin",Robitusin,Antitussive/Expectorant,100mg/5mL
ITM002,"Unilab, Inc.",Paracetamol,Biogesic,Analgesic/Antipyretic,500mg/Tablet
ITM003,"Unilab, Inc.",Carbocisteine,Solmux,Mucolytic,500mg/Tablet
ITM004,Westmont,Carbocisteine,Solmux,Mucolytic,200mg/5mL
ITM005,"Unilab, Inc.","Phenilephrine HCI, Chlorphenamine Maleate, Paracetamol",Neozep,"Nasal Decongestant, Analgesic-Antipyretic",500mg/Tablet
ITM006,Myra,"Phenilephrine HCI, Paracetamol",Neozep,"Nasal Decongestant, Analgesic-Antipyretic",500mg/Tablet
